To Susan On The West Coast Waiting,Donovan,1:32,"60s,classicrock,folkrock,folk",Donovan/_/To+Susan+On+The+West+Coast+Waiting
I Dig Girls,J.J. Jackson,2:21,7soul,J.J.+Jackson/_/I+Dig+Girls
The Man I Want To Be,Chris Young,3:27,"country,chrisyoung-themaniwanttobe,myfavorite",Chris+Young/_/The+Man+I+Want+to+Be
Why Me?,Irene Cara,7:03,"pop,80s,femalevocalists,disco,dance",Irene+Cara/_/Why+Me%3F+-+12%22+Mix
Vow,Garbage,4:28,"rock,alternative,alternativerock,femalevocalists,90s,garbage",Garbage/_/Vow
Throw It In The Bag,Fabolous Featuring The-Dream,,ustop40,Fabolous/_/Throw+It+In+The+Bag+(featuring+The-Dream)
How Did You Know?,Mynt Featuring Kim Sozzi,,"trance,cover,coverversion,house,vocaltrance,dance,davidmorales,kimsozzi,femalevocaltrance,femalevocal,remix,dancecover,mix",Mynt+featuring+Kim+Sozzi/_/How+Did+You+Know+(Remix+Radio)
Loveline,Dr. Hook,3:20,"classicrock,70s,softrock,rock,oldies",Dr.+Hook/_/Loveline
Garden Party,Herb Alpert,5:16,"jazz,instrumental,easylistening,trumpet,proto-vaporwave",Herb+Alpert/_/Garden+Party
Down The Aisle,Ike Clanton,,rocknroll,Ike+Clanton/_/Down+the+aisle
Teardrops In My Heart,Joe Barry,2:14,"rockandroll,country",Joe+Barry/_/Teardrops+in+My+Heart
I Know You're Out There Somewhere,The Moody Blues,4:21,"classicrock,rock,progressiverock,80s,softrock",The+Moody+Blues/_/I+Know+You%27re+Out+There+Somewhere
No Fool No More,En Vogue,3:44,"dianewarren,soul,rnb,american",En+Vogue/_/No+Fool+No+More
It's Getting Better All The Time,Brooks & Dunn,,country,Brooks+&+Dunn/_/It%27s+Getting+Better+All+the+Time
The Girl Is Mine,Michael Jackson And Paul McCartney,3:41,pop,Michael+Jackson/_/The+Girl+Is+Mine+(with+Paul+McCartney)
You Can Have Him,Dionne Warwick,3:31,"60s,rock,soul",Dionne+Warwick/_/You+Can+Have+Him
Let's Get It On,Marvin Gaye,4:01,"soul,motown,70s,sexy",Marvin+Gaye/_/Let%27s+Get+It+On
Be Careful Of Stones That You Throw,Dion,2:49,"doowop,oldies,50s,rockabilly,60s",Dion+&+The+Belmonts/_/Be+Careful+of+Stones+That+You+Throw
It's A Long Way There,Little River Band,4:12,"classicrock,rock,70s",Little+River+Band/_/It%27s+A+Long+Way+There
Winter Games,David Foster,,easylistening,David+Foster/_/Winter+Games
Daybreaker,Electric Light Orchestra,,"instrumental,rock,classicrock,70s",Electric+Light+Orchestra/_/Daybreaker
Stop,Spice Girls,3:24,"pop,90s,spicegirls,british",Spice+Girls/_/Stop
"Don't Think Twice, It's All Right","Peter, Paul & Mary",3:12,"folk,60s,cover","Peter,+Paul+&+Mary/_/Don%27t+Think+Twice,+It%27s+All+Right"
Kill Bill,SZA,2:33,"pop,psychedelicpop,rnb,triphop,neo-soul,neo-psychedelia,bedroompop",SZA/_/Kill+Bill
Sound-Off,Titus Turner,2:07,"blues,soul,funk,rockandroll",Titus+Turner/_/Sound+Off+(Duckworth+Chant)
My Special Prayer,Percy Sledge,2:58,"soul,oldies,percysledge,60s",Percy+Sledge/_/My+Special+Prayer
Walk Like An Egyptian,The Bangles,3:24,"80s,pop,femalevocalists,newwave",The+Bangles/_/Walk+Like+an+Egyptian
Every 1's A Winner,Hot Chocolate,4:00,"disco,funk,70s,soul,pop",Hot+Chocolate/_/Every+1%27s+A+Winner+-+Single+Version
Lessons Learned,Tracy Lawrence,2:57,"country,goodsong",Tracy+Lawrence/_/Lessons+Learned
U Make Me Wanna,Jadakiss Featuring Mariah Carey,,"hip-hop,rap,eastcoastrap,newyork,hiphop",Jadakiss/_/U+Make+Me+Wanna+(Featuring+Mariah+Carey)
La Isla Bonita,Madonna,4:05,"pop,80s,dance,madonna,femalevocalists",Madonna/_/La+Isla+Bonita
It's Only Love,Elvis Presley,2:38,"rock'n'roll,1970s,elvispresley,1971",Elvis+Presley/_/It%27s+Only+Love
Do You Love What You Feel,Rufus And Chaka Khan,4:31,"funk,soul,disco,70s",Rufus/_/Do+You+Love+What+You+Feel
Love And Understanding,Cher,4:42,"pop,femalevocalists,cher,80s,rock,90s",Cher/_/Love+and+Understanding
This One's For You,Barry Manilow,3:31,"easylistening,70s,pop,softrock",Barry+Manilow/_/This+One%27s+for+You
Reaction To Action,Foreigner,3:57,"hardrock,rock,classicrock",Foreigner/_/Reaction+To+Action
Point Me 2,FendiDa Rappa With Cardi B,,"rap,trap,hiphop,hip-hop",FendiDa+Rappa/_/Point+Me+2+(with+Cardi+B)
Is It Because I'm Black,Syl Johnson,1:12,"soul,blues,funk,syljohnson",Syl+Johnson/_/Is+It+Because+I%27m+Black
Good For You,Selena Gomez Featuring A$AP Rocky,,"pop,femalevocalists,disney,poprock",Selena+Gomez/_/Good+For+You+featuring+A$AP+Rocky
Reason To Be,Kansas,3:58,"progressiverock,classicrock",Kansas/_/Reason+to+Be
New Romance (It's A Mystery),Spider,,"folk,heavymetal,femalevocalists,acoustic,nwobhm",Spider/_/New+Romance+-+It%27s+A+Mystery
Round Here,Florida Georgia Line,3:35,country,Florida+Georgia+Line/_/Round+Here
Everything Is Good About You,The Lettermen,3:03,"oldies,60s,pop,easylistening",The+Lettermen/_/Everything+Is+Good+About+You
Plug Walk,Rich The Kid,2:55,"rap,hip-hop,richthekid,trap,2018single",Rich+the+Kid/_/Plug+Walk
She's A Bitch,"Missy ""Misdemeanor"" Elliott",,"hip-hop,rap,hiphop,missyelliott",Missy+Elliott/_/She%27s+a+Bitch
Amapola,Jacky Noguez And His Orchestra,,,Jacky+Noguez+&+His+Orchestra/_/Amapola
Throw Some D's,Rich Boy Featuring Polow Da Don,,"rap,hip-hop,dirtysouth,southernrap,hiphop",Rich+Boy/_/Throw+Some+D%27s+(featuring+Polow+Da+Don)
I Love You So,The Walters,2:40,"indie,indiepop,indierock,janglepop",The+Walters/_/I+Love+You+So
Won't You Come Home Bill Bailey,Bobby Darin,2:04,"bigband50s60s,singalong","Bobby+Darin/_/Bill+Bailey,+Won%27t+You+Please+Come+Home"
Raise Your Hand,Eddie Floyd,3:38,"soul,rhythmandblues,stax",Eddie+Floyd/_/Raise+Your+Hand
Calling My Name,Drake,2:09,"rap,dance,rnb,canada,drake,deephouse,alternativernb",Drake/_/Calling+My+Name
Handsome & Wealthy,Migos,3:32,"rock,alternativerock,alternative,screamo,emo,theused",The+Used/_/Pretty+Handsome+Awkward
Let's Have A Party,Wanda Jackson,2:09,"rockabilly,rockandroll,oldies,60s,rock",Wanda+Jackson/_/Let%27s+Have+A+Party
Mack The Knife,Ella Fitzgerald,4:47,"jazz,femalevocalists,swing,jazzvocal",Ella+Fitzgerald/_/Mack+The+Knife
